Datum,AfD,SPD,CDU,BSW,Sonstige,GRÜNE,LINKE,BVB/FW,FDP
2026-04-22,34,24.06,13.94,8,7.94,5,7.06,NA,NA
2026-04-21,34,24.05,13.95,8,7.95,5,7.05,NA,NA
2026-04-20,34,24.04,13.96,8,7.96,5,7.04,NA,NA
2026-04-19,34,24.02,13.98,8,7.98,5,7.02,NA,NA
2026-04-18,34,24.01,13.99,8,7.99,5,7.01,NA,NA
2026-04-17,34,24,14,8,8,5,7,NA,NA
2026-04-16,34,24,14,8,8,5,7,NA,NA
2026-04-15,34,23.99,14.01,8,8.01,5,6.99,NA,NA
2026-04-14,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-13,34,23.97,14.03,8,8.03,5,6.97,NA,NA
2026-04-12,34,23.97,14.03,8,8.03,5,6.97,NA,NA
2026-04-11,34,23.96,14.04,8,8.04,5,6.96,NA,NA
2026-04-10,34,23.96,14.04,8,8.04,5,6.96,NA,NA
2026-04-09,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-08,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-07,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-06,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-05,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-04,34,23.95,14.05,8,8.05,5,6.95,NA,NA
2026-04-03,34,23.96,14.04,8,8.04,5,6.96,NA,NA
2026-04-02,34,23.96,14.04,8,8.04,5,6.96,NA,NA
2026-04-01,34,23.96,14.04,8,8.04,5,6.96,NA,NA
2026-03-31,34,23.97,14.03,8,8.03,5,6.97,NA,NA
2026-03-30,34,23.97,14.03,8,8.03,5,6.97,NA,NA
2026-03-29,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-03-28,34,23.99,14.01,8,8.01,5,6.99,NA,NA
2026-03-27,34,24,14,8,8,5,7,NA,NA
2026-03-26,34,24.01,13.99,8,7.99,5,7.01,NA,NA
2026-03-25,34,24.03,13.97,8,7.97,5,7.03,NA,NA
2026-03-24,34,24.04,13.96,8,7.96,5,7.04,NA,NA
2026-03-23,34,24.05,13.95,8,7.95,5,7.05,NA,NA
2026-03-22,34,24.06,13.94,8,7.94,5,7.06,NA,NA
2026-03-21,34,24.07,13.93,8,7.93,5,7.07,NA,NA
2026-03-20,34,24.1,13.9,8,7.9,5,7.1,NA,NA
2026-03-01,34,24.88,13.12,8,7.12,5,7.88,NA,NA
2026-02-28,34,24.91,13.09,8,7.09,5,7.91,NA,NA
2026-02-27,34,24.94,13.06,8,7.06,5,7.94,NA,NA
2026-02-26,34,24.96,13.04,8,7.04,5,7.96,NA,NA
2026-02-25,34,24.97,13.03,8,7.03,5,7.97,NA,NA
2026-02-24,34,24.98,13.02,8,7.02,5,7.98,NA,NA
2026-02-23,34,24.99,13.01,8,7.01,5,7.99,NA,NA
2026-02-22,34,25,13,8,7,5,8,NA,NA
2026-02-21,34,25,13,8,7,5,8,NA,NA
2026-02-20,34,25,13,8,7,5,8,NA,NA
2026-02-19,34,25,13,8,7,5,8,NA,NA
2026-02-18,34,25,13,8,7,5,8,NA,NA
2026-02-17,34,25,13,8,7,5,8,NA,NA
2026-02-16,34,25,13,8,7,5,8,NA,NA
2026-02-15,34,25,13,8,7,5,8,NA,NA
2026-02-14,34,25,13,8,7,5,8,NA,NA
2026-02-13,34,25,13,8,7,5,8,NA,NA
2026-02-12,34,25,13,8,7,5,8,NA,NA
2026-02-11,34,25,13,8,7,5,8,NA,NA
2026-02-10,34,25,13,8,7,5,8,NA,NA
2026-02-09,34,25,13,8,7,5,8,NA,NA
2026-02-08,34,25,13,8,7,5,8,NA,NA
2026-02-07,34,25,13,8,7,5,8,NA,NA
2026-02-06,34,25.01,13,8,7,5,8,NA,NA
2026-02-05,33.99,25.03,12.99,8.01,6.99,5,7.99,NA,NA
2026-02-04,33.98,25.05,12.98,8.02,6.98,5,7.98,NA,NA
2026-02-03,33.97,25.08,12.97,8.03,6.97,5,7.97,NA,NA
2026-02-02,33.96,25.11,12.96,8.04,6.96,5,7.96,NA,NA
2026-02-01,33.96,25.13,12.96,8.04,6.96,5,7.96,NA,NA
2026-01-31,33.95,25.15,12.95,8.05,6.95,5,7.95,NA,NA
